nr	name	class	rationale
209	io_submit	A	passthrough: sys_call_table[nr]
210	io_cancel	A	passthrough: sys_call_table[nr]
211	get_thread_area	A	passthrough: sys_call_table[nr]
212	lookup_dcookie	A	passthrough: sys_call_table[nr]
213	epoll_create	A	passthrough: sys_call_table[nr]
214	epoll_ctl_old	A	passthrough: sys_call_table[nr]
215	epoll_wait_old	A	passthrough: sys_call_table[nr]
216	remap_file_pages	A	passthrough: sys_call_table[nr]
217	getdents64	A	passthrough: sys_call_table[nr]
218	set_tid_address	A	passthrough: sys_call_table[nr]
219	restart_syscall	A	passthrough: sys_call_table[nr]
220	semtimedop	A	passthrough: sys_call_table[nr]
221	fadvise64	A	passthrough: sys_call_table[nr]
222	timer_create	A	passthrough: sys_call_table[nr]
223	timer_settime	A	passthrough: sys_call_table[nr]
224	timer_gettime	A	passthrough: sys_call_table[nr]
225	timer_getoverrun	A	passthrough: sys_call_table[nr]
226	timer_delete	A	passthrough: sys_call_table[nr]
227	clock_settime	A	passthrough: sys_call_table[nr]
228	clock_gettime	E	gadget fast path: in-guest LSTAR handler, fallback is passthrough
229	clock_getres	A	passthrough: sys_call_table[nr]
230	clock_nanosleep	A	passthrough: sys_call_table[nr]
231	exit_group	A	passthrough: sys_call_table[nr]
232	epoll_wait	A	passthrough: sys_call_table[nr]
233	epoll_ctl	A	passthrough: sys_call_table[nr]
234	tgkill	A	passthrough: sys_call_table[nr]
235	utimes	A	passthrough: sys_call_table[nr]
236	vserver	A	passthrough: sys_call_table[nr]
237	mbind	A	passthrough: sys_call_table[nr]
238	set_mempolicy	A	passthrough: sys_call_table[nr]
239	get_mempolicy	A	passthrough: sys_call_table[nr]
240	mq_open	A	passthrough: sys_call_table[nr]
241	mq_unlink	A	passthrough: sys_call_table[nr]
242	mq_timedsend	A	passthrough: sys_call_table[nr]
243	mq_timedreceive	A	passthrough: sys_call_table[nr]
244	mq_notify	A	passthrough: sys_call_table[nr]
245	mq_getsetattr	A	passthrough: sys_call_table[nr]
246	kexec_load	D	trap: meaningless for a userspace guest
247	waitid	A	passthrough: sys_call_table[nr]
248	add_key	A	passthrough: sys_call_table[nr]
249	request_key	A	passthrough: sys_call_table[nr]
250	keyctl	A	passthrough: sys_call_table[nr]
251	ioprio_set	A	passthrough: sys_call_table[nr]
252	ioprio_get	A	passthrough: sys_call_table[nr]
253	inotify_init	A	passthrough: sys_call_table[nr]
254	inotify_add_watch	A	passthrough: sys_call_table[nr]
255	inotify_rm_watch	A	passthrough: sys_call_table[nr]
256	migrate_pages	A	passthrough: sys_call_table[nr]
257	openat	A	passthrough: sys_call_table[nr]
258	mkdirat	A	passthrough: sys_call_table[nr]
259	mknodat	A	passthrough: sys_call_table[nr]
260	fchownat	A	passthrough: sys_call_table[nr]
261	futimesat	A	passthrough: sys_call_table[nr]
262	newfstatat	A	passthrough: sys_call_table[nr]
263	unlinkat	A	passthrough: sys_call_table[nr]
264	renameat	A	passthrough: sys_call_table[nr]
265	linkat	A	passthrough: sys_call_table[nr]
266	symlinkat	A	passthrough: sys_call_table[nr]
267	readlinkat	A	passthrough: sys_call_table[nr]
268	fchmodat	A	passthrough: sys_call_table[nr]
269	faccessat	A	passthrough: sys_call_table[nr]
270	pselect6	A	passthrough: sys_call_table[nr]
271	ppoll	A	passthrough: sys_call_table[nr]
272	unshare	A	passthrough: sys_call_table[nr]
273	set_robust_list	A	passthrough: sys_call_table[nr]
274	get_robust_list	A	passthrough: sys_call_table[nr]
275	splice	A	passthrough: sys_call_table[nr]
276	tee	A	passthrough: sys_call_table[nr]
277	sync_file_range	A	passthrough: sys_call_table[nr]
278	vmsplice	A	passthrough: sys_call_table[nr]
279	move_pages	A	passthrough: sys_call_table[nr]
280	utimensat	A	passthrough: sys_call_table[nr]
281	epoll_pwait	A	passthrough: sys_call_table[nr]
282	signalfd	A	passthrough: sys_call_table[nr]
283	timerfd_create	A	passthrough: sys_call_table[nr]
284	eventfd	A	passthrough: sys_call_table[nr]
285	fallocate	A	passthrough: sys_call_table[nr]
286	timerfd_settime	A	passthrough: sys_call_table[nr]
287	timerfd_gettime	A	passthrough: sys_call_table[nr]
288	accept4	A	passthrough: sys_call_table[nr]
289	signalfd4	A	passthrough: sys_call_table[nr]
290	eventfd2	A	passthrough: sys_call_table[nr]
291	epoll_create1	A	passthrough: sys_call_table[nr]
292	dup3	A	passthrough: sys_call_table[nr]
293	pipe2	A	passthrough: sys_call_table[nr]
294	inotify_init1	A	passthrough: sys_call_table[nr]
295	preadv	A	passthrough: sys_call_table[nr]
296	pwritev	A	passthrough: sys_call_table[nr]
297	rt_tgsigqueueinfo	A	passthrough: sys_call_table[nr]
298	perf_event_open	A	passthrough: sys_call_table[nr]
299	recvmmsg	A	passthrough: sys_call_table[nr]
300	fanotify_init	A	passthrough: sys_call_table[nr]
301	fanotify_mark	A	passthrough: sys_call_table[nr]
302	prlimit64	A	passthrough: sys_call_table[nr]
303	name_to_handle_at	A	passthrough: sys_call_table[nr]
304	open_by_handle_at	A	passthrough: sys_call_table[nr]
305	clock_adjtime	A	passthrough: sys_call_table[nr]
306	syncfs	A	passthrough: sys_call_table[nr]
307	sendmmsg	A	passthrough: sys_call_table[nr]
308	setns	A	passthrough: sys_call_table[nr]
309	getcpu	E	gadget fast path: in-guest LSTAR handler, fallback is passthrough
310	process_vm_readv	A	passthrough: sys_call_table[nr]
311	process_vm_writev	A	passthrough: sys_call_table[nr]
312	kcmp	A	passthrough: sys_call_table[nr]
313	finit_module	D	trap: module loading is privileged + meaningless in guest userspace
314	sched_setattr	A	passthrough: sys_call_table[nr]
315	sched_getattr	A	passthrough: sys_call_table[nr]
316	renameat2	A	passthrough: sys_call_table[nr]
317	seccomp	A	passthrough: sys_call_table[nr]
318	getrandom	A	passthrough: sys_call_table[nr]
319	memfd_create	A	passthrough: sys_call_table[nr]
320	kexec_file_load	D	trap: meaningless for a userspace guest
321	bpf	D	trap: BPF attach to host kernel structures via guest syscall is a bypass vector
322	execveat	A	passthrough: sys_call_table[nr]
323	userfaultfd	A	passthrough: sys_call_table[nr]
324	membarrier	A	passthrough: sys_call_table[nr]
325	mlock2	A	passthrough: sys_call_table[nr]
326	copy_file_range	A	passthrough: sys_call_table[nr]
327	preadv2	A	passthrough: sys_call_table[nr]
328	pwritev2	A	passthrough: sys_call_table[nr]
329	pkey_mprotect	A	passthrough: sys_call_table[nr]
330	pkey_alloc	A	passthrough: sys_call_table[nr]
331	pkey_free	A	passthrough: sys_call_table[nr]
332	statx	A	passthrough: sys_call_table[nr]
333	io_pgetevents	A	passthrough: sys_call_table[nr]
334	rseq	A	passthrough: sys_call_table[nr]
335	uretprobe	A	passthrough: sys_call_table[nr]
336	uprobe	A	passthrough: sys_call_table[nr]
424	pidfd_send_signal	A	passthrough: sys_call_table[nr]
425	io_uring_setup	A	passthrough: sys_call_table[nr]
426	io_uring_enter	A	passthrough: sys_call_table[nr]
427	io_uring_register	A	passthrough: sys_call_table[nr]
428	open_tree	A	passthrough: sys_call_table[nr]
429	move_mount	A	passthrough: sys_call_table[nr]
430	fsopen	A	passthrough: sys_call_table[nr]
431	fsconfig	A	passthrough: sys_call_table[nr]
432	fsmount	A	passthrough: sys_call_table[nr]
433	fspick	A	passthrough: sys_call_table[nr]
434	pidfd_open	A	passthrough: sys_call_table[nr]
435	clone3	A	passthrough: sys_call_table[nr]
436	close_range	A	passthrough: sys_call_table[nr]
437	openat2	A	passthrough: sys_call_table[nr]
438	pidfd_getfd	A	passthrough: sys_call_table[nr]
439	faccessat2	A	passthrough: sys_call_table[nr]
440	process_madvise	A	passthrough: sys_call_table[nr]
441	epoll_pwait2	A	passthrough: sys_call_table[nr]
442	mount_setattr	A	passthrough: sys_call_table[nr]
443	quotactl_fd	A	passthrough: sys_call_table[nr]
444	landlock_create_ruleset	A	passthrough: sys_call_table[nr]
445	landlock_add_rule	A	passthrough: sys_call_table[nr]
446	landlock_restrict_self	A	passthrough: sys_call_table[nr]
447	memfd_secret	A	passthrough: sys_call_table[nr]
448	process_mrelease	A	passthrough: sys_call_table[nr]
449	futex_waitv	A	passthrough: sys_call_table[nr]
450	set_mempolicy_home_node	A	passthrough: sys_call_table[nr]
451	cachestat	A	passthrough: sys_call_table[nr]
452	fchmodat2	A	passthrough: sys_call_table[nr]
453	map_shadow_stack	A	passthrough: sys_call_table[nr]
454	futex_wake	A	passthrough: sys_call_table[nr]
455	futex_wait	A	passthrough: sys_call_table[nr]
456	futex_requeue	A	passthrough: sys_call_table[nr]
457	statmount	A	passthrough: sys_call_table[nr]
458	listmount	A	passthrough: sys_call_table[nr]
459	lsm_get_self_attr	A	passthrough: sys_call_table[nr]
460	lsm_set_self_attr	A	passthrough: sys_call_table[nr]
461	lsm_list_modules	A	passthrough: sys_call_table[nr]
462	mseal	A	passthrough: sys_call_table[nr]
463	setxattrat	A	passthrough: sys_call_table[nr]
464	getxattrat	A	passthrough: sys_call_table[nr]
465	listxattrat	A	passthrough: sys_call_table[nr]
466	removexattrat	A	passthrough: sys_call_table[nr]
467	open_tree_attr	A	passthrough: sys_call_table[nr]
468	file_getattr	A	passthrough: sys_call_table[nr]
469	file_setattr	A	passthrough: sys_call_table[nr]
470	listns	A	passthrough: sys_call_table[nr]
471	rseq_slice_yield	A	passthrough: sys_call_table[nr]
